,source,target,value
0,#Terps,Purdue,0.7482579461879222
1,#Terps,#Sooners,0.7482579461879222
2,Alex Barnes,Nick Chubb,0.7250483336293453
3,Alex Barnes,Dexter Williams,0.7039880136919263
4,Alex Barnes,Andy Pappanastos,0.7262012839115467
5,Alex Barnes,Shaun Dion Hamilton,0.7845724005028609
6,Alex Barnes,Daniel Carlson,0.7696135738140133
7,Alex Barnes,Kerryon Johnson,0.7056534187613487
8,Alex Barnes,Ronald Jones,0.741296346825809
9,Alex Barnes,Kasen Williams,0.7112334898048284
10,Alex Barnes,Jake Olson,0.714298167507227
11,Alex Barnes,Damien Harris,0.7382528121448094
12,Nick Chubb,Alex Barnes,0.7250483336293453
13,Nick Chubb,Shaun Dion Hamilton,0.7148926264135549
14,Nick Chubb,Damien Harris,0.7079684103520059
15,John O'Korn,Jim McElwain,0.7768292040371124
16,John O'Korn,Shaun Dion Hamilton,0.7208455879795754
17,John O'Korn,Daniel Carlson,0.7356953617029286
18,John O'Korn,Kerryon Johnson,0.7129923401240468
19,John O'Korn,Ronald Jones,0.7654341355800133
20,John O'Korn,Kasen Williams,0.7254369524561645
21,John O'Korn,Damien Harris,0.7230497014172589
22,Jake Bentley,Jake Olson,0.7285337390007878
23,Jim McElwain,John O'Korn,0.7768292040371124
24,Jim McElwain,Shaun Dion Hamilton,0.7478385869613702
25,Jim McElwain,Daniel Carlson,0.7266446024789228
26,Jim McElwain,Ronald Jones,0.7967509121156314
27,Jim McElwain,Kasen Williams,0.7115814782115878
28,Jim McElwain,Jake Olson,0.7148331652865684
29,Jim McElwain,Damien Harris,0.7248814524380877
30,Purdue,#Terps,0.7482579461879222
31,Purdue,#Sooners,1.0000000591089058
32,NC State,Arkansas State,0.896135976146736
33,NC State,Florida State,0.8909278064746268
34,Tom Herman,Daniel Carlson,0.7122893393810431
35,Justin Turner,Shaun Dion Hamilton,0.7692910029587098
36,Justin Turner,Daniel Carlson,0.7277303003980777
37,Justin Turner,Keith Gavin,0.7036188525594247
38,Justin Turner,Kasen Williams,0.7053149023410833
39,Justin Turner,Jake Olson,0.7341766799416766
40,Justin Turner,Damien Harris,0.7226635338822269
41,Dexter Williams,Alex Barnes,0.7039880136919263
42,Dexter Williams,Lamar Jackson,0.7039069359518695
43,Dexter Williams,Shaun Dion Hamilton,0.7552892294084727
44,Dexter Williams,Daniel Carlson,0.7555286170302965
45,Dexter Williams,Ronald Jones,0.7404559084498805
46,Dexter Williams,Kasen Williams,0.8440376624080306
47,Dexter Williams,Jake Olson,0.7108562118751027
48,Dexter Williams,Damien Harris,0.7432013540300768
49,Lamar Jackson,Dexter Williams,0.7039069359518695
50,Lamar Jackson,Kasen Williams,0.7143941396539892
51,Arkansas State,NC State,0.896135976146736
52,Arkansas State,Florida State,0.886909071678548
53,Arkansas State,Western Michigan,0.7066261171878209
54,Andy Pappanastos,Alex Barnes,0.7262012839115467
55,Andy Pappanastos,Shaun Dion Hamilton,0.7027629890837204
56,Andy Pappanastos,Daniel Carlson,0.7100889472787693
57,Andy Pappanastos,Jake Olson,0.7081415871675008
58,Andy Pappanastos,Damien Harris,0.721100795795125
59,Shaun Dion Hamilton,Alex Barnes,0.7845724005028609
60,Shaun Dion Hamilton,Nick Chubb,0.7148926264135549
61,Shaun Dion Hamilton,John O'Korn,0.7208455879795754
62,Shaun Dion Hamilton,Jim McElwain,0.7478385869613702
63,Shaun Dion Hamilton,Justin Turner,0.7692910029587098
64,Shaun Dion Hamilton,Dexter Williams,0.7552892294084727
65,Shaun Dion Hamilton,Andy Pappanastos,0.7027629890837204
66,Shaun Dion Hamilton,Daniel Carlson,0.7892160084805493
67,Shaun Dion Hamilton,Keith Gavin,0.783076089077944
