trend,t-15,t-14,t-13,t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t
Carolina Kostner,1,1,2,3,4,100,79,13,7,4,4,6,7,6,7,40
Black Swan,73,69,67,74,98,100,75,68,64,72,70,79,78,61,87,82
Gold Line,100,90,80,72,66,71,87,51,70,71,58,89,69,60,66,84
Kaetlyn Osmond,3,1,3,4,6,100,39,13,9,8,4,4,4,5,15,91
Hogs,72,68,83,91,97,95,73,82,89,74,77,100,94,63,73,76
Alina Zagitova,<1,1,1,2,2,6,87,19,10,4,6,5,5,5,9,100
Carmen,99,96,90,89,89,90,93,87,87,93,93,90,95,97,93,100
Karen Chen,5,4,4,17,16,21,25,8,6,10,15,19,13,7,16,100
Jarred Vanderbilt,29,87,0,30,34,50,0,0,29,30,0,51,50,0,29,100
Dinesh D'Souza,6,3,3,0,3,3,6,6,0,9,3,3,0,3,9,100
Geist,74,71,87,70,75,81,77,76,74,76,72,66,100,76,67,79
Ryan Shazier,13,100,19,11,10,7,8,4,4,5,6,4,5,4,4,24
Zagitova,1,1,2,1,1,5,91,17,8,4,6,7,5,4,7,100
NHLers,39,0,0,0,91,45,0,60,79,100,41,45,45,0,0,38
Nathan MacKinnon,51,56,47,53,75,69,100,71,57,95,44,49,85,19,18,92
Lindsey Vonn,4,4,5,12,25,11,9,7,15,18,21,81,23,21,22,100
Medvedeva,2,3,2,3,5,100,44,18,11,8,16,48,14,11,12,52
Mirai,5,5,5,5,6,8,100,32,14,9,9,11,8,8,9,17
Tremont Waters,17,0,17,18,39,19,0,17,52,0,0,100,78,0,17,67
Olympic Hockey,5,6,8,19,37,49,30,35,55,73,54,90,58,53,68,100
Tyson Barrie,36,29,15,23,25,42,44,15,29,30,31,25,17,29,14,100
Troy Terry,2,2,5,5,5,3,6,7,11,8,23,4,5,4,59,100
Linda Belcher,1,5,5,1,4,5,1,4,2,1,2,4,2,4,9,100
Kevin Puryear,0,0,0,0,0,97,0,0,86,0,0,100,0,0,0,0
Eyes Wide Shut,76,51,57,61,84,100,71,67,67,64,84,94,87,77,63,87
Great Britain,53,52,51,55,61,60,65,60,87,71,78,62,80,60,73,100
Newsweek,100,67,70,62,54,61,72,52,52,55,49,36,48,54,58,77
Canucks,38,59,42,58,63,62,54,45,56,81,65,47,100,42,49,75
Karla Souza,2,1,1,1,1,2,1,1,1,1,1,1,1,1,13,100
The Challenge,68,100,88,70,59,66,67,62,98,79,76,76,72,64,66,92
Yuki,64,58,67,74,90,75,73,67,72,61,84,94,82,70,64,100
Kentucky House,45,49,45,51,51,60,21,29,53,54,59,52,46,28,40,100
Justin and Selena,26,22,24,26,44,37,31,31,25,37,43,41,32,29,32,100
Marysville,91,94,85,94,92,72,90,79,76,88,87,100,89,89,91,84
Alina Zagitova,<1,1,1,2,2,6,87,19,10,4,6,5,5,5,9,100
Czech Republic,44,42,43,42,47,43,51,53,43,52,50,76,56,50,57,100
Mavs,44,30,61,72,50,100,53,41,33,19,20,21,26,15,21,74
Alex van der Zwaan,0,0,<1,0,0,0,0,0,0,0,<1,0,0,0,100,48
Zagitova,1,1,2,1,1,5,91,17,8,4,6,7,5,4,7,100
Chelsea,19,11,10,10,11,12,21,16,13,13,19,15,12,16,100,34
Czech,69,71,65,73,73,76,74,74,67,76,75,100,83,76,75,96
Fergie,1,1,1,2,2,2,1,1,1,1,1,1,1,100,90,42
Lindsey Vonn,4,4,5,12,25,11,9,7,15,18,21,81,23,21,22,100
Dallas Mavericks,33,25,45,52,32,61,35,24,29,19,18,18,16,15,17,100
Zion Williamson,22,24,41,50,25,20,20,22,22,22,22,21,20,12,17,100
Win A Copy,51,50,51,0,0,0,52,0,51,52,80,59,58,0,100,50
Kill the NRA,0,0,10,0,0,0,0,0,0,21,21,0,0,31,100,30
King Street,86,92,90,91,76,76,87,100,91,86,90,84,76,83,95,98
Rihanna,45,45,43,46,54,50,41,40,37,38,42,49,52,46,100,78
Dungeons & Dragons,40,86,47,48,76,68,61,74,61,88,70,77,76,100,52,85
Florida House,53,49,51,56,53,61,59,48,70,86,68,68,62,59,77,100
Not Quantity,72,57,61,57,13,56,70,97,61,100,61,33,56,98,65,76
South Portland,87,89,94,81,85,80,92,91,87,98,100,89,87,91,91,89
Dinesh D'Souza,6,3,3,0,3,3,6,6,0,9,3,3,0,3,9,100
Exit Ramp,29,29,0,61,67,33,30,0,59,89,91,0,100,0,86,29
West Michigan,83,75,94,100,63,64,84,80,77,74,74,72,55,80,70,87
Kikkan Randall,1,1,3,2,7,4,4,4,1,3,3,4,5,0,1,100
Making a Murderer,81,96,50,60,88,73,79,77,59,78,81,67,93,85,68,100
OVERNIGHT,97,92,98,87,86,100,100,98,82,81,80,87,93,95,92,91
Karla Souza,2,1,1,1,1,2,1,1,1,1,1,1,1,1,13,100
Kirstie Alley,20,15,18,15,41,15,13,31,20,45,27,29,32,20,90,100
Bevin,33,35,32,30,20,38,36,28,28,30,88,59,96,90,100,59
Disabled Vehicle,59,47,72,25,55,27,24,24,36,85,100,28,0,72,94,23
We're LIVE ON-AIR,59,47,72,25,55,27,24,24,36,85,100,28,0,72,94,23
Favorite Pundit,59,47,72,25,55,27,24,24,36,85,100,28,0,72,94,23
Flash Flood Watch,0,0,0,0,0,0,0,0,52,0,0,0,0,51,0,100
Ryan Shazier,13,100,19,11,10,7,8,4,4,5,6,4,5,4,4,24
Altamesa,42,42,86,59,98,32,87,58,86,58,60,100,65,57,84,84
Elana Meyers Taylor,8,10,9,19,17,9,21,20,21,9,6,5,6,9,19,100
Dana Loesch,9,10,21,18,13,9,9,12,16,39,27,18,14,23,20,100
Charles Krauthammer,35,24,35,38,25,19,33,64,41,19,13,40,39,24,74,100
Dallas Mavericks,33,25,45,52,32,61,35,24,29,19,18,18,16,15,17,100
Polk County,89,82,84,92,71,65,95,96,87,93,91,67,71,96,100,93
NJ Transit,66,88,78,77,67,70,68,65,71,67,100,88,82,77,68,76
Alan Rickman,28,25,16,30,48,38,34,22,23,21,22,41,100,36,33,95
Jack White,74,73,62,75,100,88,77,71,76,68,62,84,70,67,68,74
Florida Capitol,19,26,15,20,17,43,23,15,31,23,24,26,17,26,37,100
National Space Council,20,20,21,0,23,0,21,21,21,21,42,0,23,20,30,100
Democrat Linda Belcher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
Chuck Palahniuk,100,40,49,79,65,78,74,57,73,61,42,51,50,81,91,75
Kikkan Randall,1,1,3,2,7,4,4,4,1,3,3,4,5,0,1,100
Northwest DC,30,100,72,80,68,54,60,42,66,73,62,76,54,42,88,64
Hump Day,9,83,16,6,5,5,5,10,50,15,6,5,3,3,11,100
Express Pool,26,26,26,17,40,38,21,17,28,17,19,32,34,28,27,100
Chris Kennedy,45,100,57,39,69,64,84,64,42,49,55,26,47,56,70,88
Falcon 9,100,69,26,20,16,12,13,7,8,12,11,9,9,7,6,17
Weatherford,95,79,83,76,78,57,69,71,71,75,76,71,60,86,76,100
Will America Choose,0,49,50,51,0,56,0,0,0,100,0,0,56,0,48,48
Guta Oriental,17,0,0,26,0,0,0,17,17,0,0,0,0,17,50,100
Garden City High School,14,9,29,21,40,7,18,9,29,21,15,27,13,9,6,100
Chapter 11,90,78,80,75,57,67,88,100,94,86,79,54,61,59,80,96
Officer Justin Billa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
Kevin Poulin,8,12,0,4,19,23,4,8,8,10,4,7,93,4,6,100
New Executive Office Building,0,0,0,0,0,0,0,0,0,0,52,0,0,100,0,73
Jessie Diggins,2,2,7,11,32,41,8,31,62,42,12,20,19,11,4,100
Consider Phlebas,10,20,5,5,6,6,10,8,0,5,0,6,17,5,10,100
Radiohead,39,41,41,43,51,50,47,44,42,40,39,46,43,41,100,100
Jeff Session,12,12,36,31,14,27,37,61,48,43,19,14,14,24,12,100
Dodd-Frank,88,100,38,66,44,58,90,39,51,78,53,0,29,64,50,62
Pat Robertson,61,27,21,22,18,12,31,28,12,32,15,9,7,18,23,100
Kearny Mesa,56,76,57,49,56,34,50,74,44,44,62,54,40,39,50,100
Brainiac,46,38,39,56,32,74,49,38,37,53,50,64,29,50,42,100
Terrence Sterling,46,38,39,56,32,74,49,38,37,53,50,64,29,50,42,100
Clean Power Plan,26,76,77,0,0,29,52,0,77,26,80,0,29,0,75,100
Tornado Watch,27,100,17,21,27,38,10,0,14,21,14,15,8,20,40,53
Falcon 9,100,69,26,20,16,12,13,7,8,12,11,9,9,7,6,17
Adam Vinatieri,22,14,35,11,16,14,21,17,8,48,28,9,16,8,32,100
Trevor Siemian,76,63,51,53,59,58,39,51,26,52,27,0,0,26,25,100
Garden City High School,14,9,29,21,40,7,18,9,29,21,15,27,13,9,6,100
Racked,53,53,63,78,66,46,77,67,63,45,70,46,61,40,87,100
Josh Allen,33,26,18,16,13,12,19,17,21,17,19,13,10,15,23,100
Mel Kiper,8,11,2,6,4,5,4,8,4,8,3,3,6,6,5,100
Dana Loesch,<1,<1,1,1,1,<1,<1,<1,1,1,1,1,<1,1,1,4
Jakub Jerabek,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,100
Brandywine,48,72,48,52,68,51,71,51,51,61,60,53,55,58,60,100
Cameron Maybin,11,0,11,0,6,0,6,0,6,6,0,13,6,0,11,100
Delaney Tarr,0,0,0,0,0,0,0,0,0,0,0,8,12,7,30,100
Police Officer Justin Billa,0,0,0,0,0,0,0,0,0,0,0,8,12,7,30,100
