trend,t-15,t-14,t-13,t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t
Andre Drummond,22,25,14,19,18,38,31,23,54,100,20,20,NaN,NaN,NaN,NaN
Jared Dudley,16,23,11,3,4,4,2,100,40,34,29,37,NaN,NaN,NaN,NaN
Embiid,20,12,7,7,7,17,19,100,28,34,43,15,NaN,NaN,NaN,NaN
Mike Scott,29,32,30,34,34,50,54,50,29,30,100,20,NaN,NaN,NaN,NaN
Southern White House,0,0,0,0,100,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
Torrey Craig,99,22,48,0,38,19,0,23,100,20,20,50,NaN,NaN,NaN,NaN
Butler,85,81,84,84,83,85,87,97,100,99,91,84,NaN,NaN,NaN,NaN
Michael Chavis,0,65,38,37,0,39,100,45,43,38,39,78,NaN,NaN,NaN,NaN
Eddie Rosario,33,82,0,58,100,73,0,17,68,30,15,45,NaN,NaN,NaN,NaN
Jarrett Allen,21,11,9,5,5,2,17,100,32,19,74,17,NaN,NaN,NaN,NaN
Cole Tucker,36,74,0,63,31,99,68,57,56,99,0,100,NaN,NaN,NaN,NaN
Gerrit Cole,67,43,48,32,100,44,23,44,68,49,22,17,NaN,NaN,NaN,NaN
How High 2,65,78,100,78,89,42,64,64,67,64,53,57,NaN,NaN,NaN,NaN
DeMar DeRozan,29,22,20,22,16,37,23,24,100,37,19,67,NaN,NaN,NaN,NaN
Joe Harris,23,39,28,41,20,28,40,100,32,35,44,22,NaN,NaN,NaN,NaN
Jaden Schwartz,38,39,68,67,34,68,0,100,0,0,34,53,NaN,NaN,NaN,NaN
Nicklas Backstrom,16,24,14,28,14,21,97,100,57,14,14,0,NaN,NaN,NaN,NaN
Alex Cobb,57,38,100,66,82,51,35,39,38,34,51,87,NaN,NaN,NaN,NaN
Caris LeVert,9,28,8,4,1,14,5,100,40,20,51,2,NaN,NaN,NaN,NaN
Aaron Judge,37,100,33,73,55,41,27,49,41,32,38,54,NaN,NaN,NaN,NaN
Ten Commandments,55,79,60,65,63,59,65,72,100,76,69,67,NaN,NaN,NaN,NaN
McKegg,37,38,65,65,0,0,35,39,38,33,100,0,NaN,NaN,NaN,NaN
Raimel Tapia,23,0,100,59,20,21,42,24,0,20,41,52,NaN,NaN,NaN,NaN
Patty Mills,41,25,45,14,28,11,15,10,100,11,14,46,NaN,NaN,NaN,NaN
