trend,gt-15,gt-14,gt-13,gt-12,gt-11,gt-10,gt-9,gt-8,gt-7,gt-6,gt-5,gt-4,gt-3,gt-2,gt-1,gt,wt-15,wt-14,wt-13,wt-12,wt-11,wt-10,wt-9,wt-8,wt-7,wt-6,wt-5,wt-4,wt-3,wt-2,wt-1,wt
Happy Easter,3,5,6,7,8,9,11,8,9,18,21,40,100,,,,30.0,23.0,28.0,34.0,31.0,38.0,46.0,48.0,43.0,66.0,87.0,94.0,140.0,348.0,600.0,1299.0
Easter Sunday,38,52,43,37,39,36,41,54,84,61,72,80,100,,,,182.0,166.0,182.0,240.0,254.0,288.0,522.0,298.0,346.0,666.0,710.0,740.0,970.0,2356.0,5793.0,2092.0
Sri Lanka,99,100,98,93,94,92,85,83,89,80,84,95,98,,,,8045.0,9650.0,11305.0,9011.0,12544.0,9635.0,8650.0,7765.0,7811.0,9007.0,8050.0,7981.0,8194.0,8528.0,7972.0,8635.0
He is Risen,16,23,23,7,25,25,34,32,41,57,66,74,100,,,,,,,,,,,,,,,,,,,
Mustafi,12,100,28,23,21,26,21,9,11,51,17,45,46,,,,14.0,11.0,45.0,12.0,8.0,10.0,18.0,10.0,5.0,12.0,16.0,9.0,17.0,26.0,13.0,12.0
Kanye's Sunday Service,57,57,100,49,0,50,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Sean Marks,33,100,87,29,57,30,0,0,0,0,0,30,0,,,,127.0,170.0,283.0,996.0,301.0,329.0,418.0,270.0,1069.0,411.0,319.0,526.0,201.0,322.0,463.0,755.0
All Falls Down,100,65,61,56,76,76,86,98,70,91,70,94,66,,,,150.0,144.0,164.0,141.0,163.0,152.0,146.0,141.0,158.0,137.0,148.0,113.0,123.0,139.0,153.0,169.0
Everton,16,100,17,11,10,10,11,29,12,12,9,9,10,,,,43.0,46.0,133.0,64.0,73.0,37.0,47.0,39.0,46.0,41.0,51.0,43.0,48.0,38.0,22.0,44.0
Rudy Giuliani,32,74,45,31,14,26,57,20,10,34,23,21,100,,,,1790.0,1895.0,3024.0,2402.0,1379.0,1411.0,1253.0,1920.0,1397.0,1525.0,1536.0,1438.0,1446.0,2583.0,5542.0,3605.0
Palace,80,71,63,59,61,61,66,77,100,65,65,66,65,,,,732.0,333.0,342.0,338.0,362.0,314.0,369.0,325.0,316.0,394.0,559.0,665.0,464.0,466.0,376.0,424.0
Emery,62,76,65,73,64,99,78,74,58,70,71,72,100,,,,55.0,55.0,41.0,58.0,74.0,48.0,69.0,56.0,47.0,44.0,48.0,63.0,52.0,56.0,70.0,38.0
Cardiff,58,52,57,54,50,50,52,68,54,57,100,63,58,,,,1258.0,1252.0,2419.0,1430.0,1680.0,1406.0,1315.0,1333.0,1385.0,1476.0,1481.0,1603.0,1561.0,1506.0,1413.0,1473.0
The Easter,27,34,33,32,31,35,40,43,52,56,60,72,100,,,,,,,,,,,,,,,,,,,
Easter Day,39,53,47,46,48,48,47,49,62,64,64,72,100,,,,23.0,26.0,28.0,33.0,45.0,44.0,61.0,62.0,62.0,128.0,127.0,154.0,175.0,272.0,388.0,313.0
Happy Resurrection,0,0,0,0,0,0,0,31,0,40,14,55,100,,,,,,,,,,,,,,,,,,,
Brighter Day,61,61,76,60,52,85,64,62,26,100,31,47,57,,,,4.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0
Lift Yourself,64,48,28,27,55,100,88,98,80,98,57,43,75,,,,216.0,175.0,249.0,273.0,214.0,196.0,216.0,187.0,175.0,213.0,174.0,197.0,179.0,200.0,176.0,197.0
Milner,40,53,62,100,49,48,47,50,74,38,35,78,70,,,,16.0,6.0,7.0,9.0,40.0,14.0,12.0,9.0,7.0,23.0,8.0,8.0,22.0,18.0,9.0,8.0
On Easter,15,20,23,19,19,22,24,28,43,45,50,63,100,,,,,,,,,,,,,,,,,,,
Over 200,46,56,72,91,64,100,76,37,67,75,92,39,72,,,,,,,,,,,,,,,,,,,
Elneny,7,100,25,11,19,23,12,7,13,4,6,12,8,,,,,,,,,,,,,,,,,,,
Benzema,100,63,40,35,37,29,26,31,27,39,40,20,20,,,,21.0,61.0,49.0,34.0,26.0,26.0,27.0,20.0,22.0,17.0,41.0,34.0,24.0,34.0,14.0,17.0
Christ is Risen,20,27,23,25,40,35,25,20,45,44,71,72,100,,,,,,,,,,,,,,,,,,,
