name,url,promoted_content,query,tweet_volume
Donovan Mitchell,http://twitter.com/search?q=%22Donovan+Mitchell%22,,%22Donovan+Mitchell%22,12426
Double OT,http://twitter.com/search?q=%22Double+OT%22,,%22Double+OT%22,
Franklin Graham,http://twitter.com/search?q=%22Franklin+Graham%22,,%22Franklin+Graham%22,77623
Justin Williams,http://twitter.com/search?q=%22Justin+Williams%22,,%22Justin+Williams%22,
Rhys Hoskins,http://twitter.com/search?q=%22Rhys+Hoskins%22,,%22Rhys+Hoskins%22,
Jason Heyward,http://twitter.com/search?q=%22Jason+Heyward%22,,%22Jason+Heyward%22,
2nd OT,http://twitter.com/search?q=%222nd+OT%22,,%222nd+OT%22,
Holtby,http://twitter.com/search?q=Holtby,,Holtby,
Game 7 OT,http://twitter.com/search?q=%22Game+7+OT%22,,%22Game+7+OT%22,
Roman Quinn,http://twitter.com/search?q=%22Roman+Quinn%22,,%22Roman+Quinn%22,
Backstrom,http://twitter.com/search?q=Backstrom,,Backstrom,
McGinn,http://twitter.com/search?q=McGinn,,McGinn,
Hagelin,http://twitter.com/search?q=Hagelin,,Hagelin,
Rhame,http://twitter.com/search?q=Rhame,,Rhame,
Connolly,http://twitter.com/search?q=Connolly,,Connolly,
Javy,http://twitter.com/search?q=Javy,,Javy,
Faulk,http://twitter.com/search?q=Faulk,,Faulk,
Turbo,http://twitter.com/search?q=Turbo,,Turbo,13671
Mr. Game 7,http://twitter.com/search?q=%22Mr.+Game+7%22,,%22Mr.+Game+7%22,
1st OT,http://twitter.com/search?q=%221st+OT%22,,%221st+OT%22,
Staal,http://twitter.com/search?q=Staal,,Staal,
John William King,http://twitter.com/search?q=%22John+William+King%22,,%22John+William+King%22,14198
Royce O'Neale,http://twitter.com/search?q=%22Royce+O%27Neale%22,,%22Royce+O%27Neale%22,
Orpik,http://twitter.com/search?q=Orpik,,Orpik,
