trend,t-15,t-14,t-13,t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t
Arya Stark,4784,5739,5785,6231,6118,6368,7483,14871,14927,29194,15346,11183,9227,8532,7725,11390
Brienne of Tarth,2121,2388,2279,2545,2963,3155,3865,4362,6729,11450,6566,4680,3966,3908,3705,4204
Tormund Giantsbane,1624,2034,2134,2143,2464,2819,3577,3925,7734,14548,5999,3636,2856,2697,2560,3009
Dany,15,10,17,29,14,16,6,17,21,34,34,24,26,22,16,15
Gendry,2260,3034,3418,3384,3877,4528,5229,5872,13834,23314,17681,7878,5380,4803,4513,5850
The Prince of Winterfell,931,1070,1055,1403,1708,1244,1216,1373,1755,2548,1948,1891,1823,1941,1726,2175
Psalm 22,196,314,226,276,261,308,270,294,690,618,795,752,1045,2365,1246,1012
Jaime,122,124,126,163,162,135,151,120,136,199,206,152,171,135,133,146
Theon Greyjoy,4051,5080,5374,5497,6190,6712,7219,8255,13516,26946,13124,10442,8661,8569,8171,8506
Ghost,1672,1740,1803,1970,1713,1814,1815,1791,1858,1990,1992,1829,1757,1733,1791,1899
Daniel Portman,991,1108,1079,1063,1186,1303,1362,1665,2672,4482,2393,1532,1306,1307,1215,1863
Jacob Anderson,2310,2756,2589,2586,2720,3360,4057,4523,11516,10023,6416,4606,3862,3747,3437,3929
.22 Hornet,437,497,466,457,418,425,455,480,454,431,486,474,469,499,483,506
Bella Ramsey,1297,1592,1612,1663,1863,1765,1843,2353,4634,10343,5913,3749,4132,3814,3739,4084
Billy Donovan,849,1483,1682,4227,1365,809,625,1222,1994,825,667,2264,616,499,1642,601
22 Bishopsgate,302,339,457,379,352,315,296,259,333,405,421,346,347,293,290,297
White Walker,2387,3079,3653,3695,4013,4997,6348,7137,12290,30497,17174,10700,8953,8165,7272,7599
Raymond Felton,544,615,285,354,557,759,333,434,2080,547,386,3905,635,435,2712,531
Starks,3,4,3,6,2,2,2,3,6,17,10,7,4,7,3,3
Daenerys Targaryen,11213,15320,15502,15932,15713,16381,18708,21768,37966,87702,46390,29764,25593,23977,21477,22942
C. J. McCollum,695,515,651,501,572,664,659,552,4680,2953,999,8320,1605,1245,4342,1076
Jorah Mormont,2728,3563,3732,3933,3917,5011,5669,6393,10842,10490,6560,5061,4607,4599,4542,4635
Tomáš Hertl,44,176,90,61,102,343,94,228,71,149,86,123,54,1163,192,273
Maisie Williams,20992,22330,21423,24341,21485,21139,23475,40179,48172,116767,61780,41551,32241,27778,24228,37948
Catch-22,1602,1723,2857,2394,2553,2312,2029,1638,1841,1963,2281,2459,2319,1878,1645,1757
Bella Ramsey,1297,1592,1612,1663,1863,1765,1843,2353,4634,10343,5913,3749,4132,3814,3739,4084
Knight,1244,1485,1646,1756,1606,1642,1530,1392,1497,1589,1797,1723,1520,1525,1414,1723
Bell Boeing V-22 Osprey,1984,1675,1774,1820,1875,1743,1738,1476,1316,1644,2117,1960,1747,1792,1470,1478
Missandei,1038,1303,1426,1446,1576,1778,2202,2463,4364,6868,3425,2198,2048,1888,1639,1825
Davos,299,330,423,364,350,314,317,296,308,398,420,428,355,307,324,340
ADAR,30,46,80,73,81,61,51,37,43,86,65,71,100,54,36,52
Easter Vigil,297,522,573,579,730,631,703,794,1340,1681,1823,2221,3290,6204,20637,11341
