,Tags
0,#UFvsUM
1,Harbaugh
2,Kasen
3,Devin Bush
4,Ty Isaac
5,#ReadyForIt
6,#Terps
7,Franks
8,Alex Barnes
9,Jake Fromm
10,Nick Chubb
11,John O'Korn
12,Sony Michel
13,#CFAKickoff
14,#Gators
15,Jake Bentley
16,#RuinABandInOneLetter
17,Jim McElwain
18,Broncos
19,#NEvORL
20,Lady Ivanka
21,Lance Lynn
22,Temple
23,Purdue
24,NC State
25,Tom Herman
26,Justin Turner
27,Dexter Williams
28,#ScienceGetsDrunk
29,Voodoo Song
30,#UFCRotterdam
31,#IfSiriWereAMan
32,Stony Brook
33,Marcus Stroman
34,#LongWeekendsAreFor
35,Lamar Jackson
36,Arkansas State
37,Andy Pappanastos
38,Chris Archer
39,#ORLvBOS
40,Southern Miss
41,Shaun Dion Hamilton
42,Francois
43,Bo Scarborough
44,Quinn Nordin
45,Daniel Carlson
46,Tanner Lee
47,Keith Gavin
48,JD Spielman
49,Notre Dame
50,#uscvswmu
51,Ermon Lane
52,Elijah Sindelar
53,#Sooners
54,#RollTide
55,Gun Runner
56,Malik Zaire
57,ICBM
58,Florida State
59,Kerryon Johnson
60,Sam Darnold
61,#NERevs
62,Ronald Jones
63,#GoDucks
64,#GoBlue
65,Speight
66,#NewJobsForJesus
67,Kasen Williams
68,#kufball
69,Jimbo
70,#2001ASpaceOdyssey
71,Western Michigan
72,#MostRequestedLive
73,Derwin James
74,#FSUvsBAMA
75,Jalen Hurts
76,#PalmerFire
77,Jake Olson
78,Damien Harris
