name,url,promoted_content,query,tweet_volume
Canes,http://twitter.com/search?q=Canes,,Canes,29321
Justin Williams,http://twitter.com/search?q=%22Justin+Williams%22,,%22Justin+Williams%22,
Mr. Game 7,http://twitter.com/search?q=%22Mr.+Game+7%22,,%22Mr.+Game+7%22,
Donovan Mitchell,http://twitter.com/search?q=%22Donovan+Mitchell%22,,%22Donovan+Mitchell%22,13024
Capitals,http://twitter.com/search?q=Capitals,,Capitals,38952
Double OT,http://twitter.com/search?q=%22Double+OT%22,,%22Double+OT%22,
Franklin Graham,http://twitter.com/search?q=%22Franklin+Graham%22,,%22Franklin+Graham%22,82055
Holtby,http://twitter.com/search?q=Holtby,,Holtby,
Brock McGinn,http://twitter.com/search?q=%22Brock+McGinn%22,,%22Brock+McGinn%22,
All 4,http://twitter.com/search?q=%22All+4%22,,%22All+4%22,
Chris Webber,http://twitter.com/search?q=%22Chris+Webber%22,,%22Chris+Webber%22,
Rhys Hoskins,http://twitter.com/search?q=%22Rhys+Hoskins%22,,%22Rhys+Hoskins%22,
Bunch of Jerks,http://twitter.com/search?q=%22Bunch+of+Jerks%22,,%22Bunch+of+Jerks%22,
2nd OT,http://twitter.com/search?q=%222nd+OT%22,,%222nd+OT%22,
Jason Heyward,http://twitter.com/search?q=%22Jason+Heyward%22,,%22Jason+Heyward%22,
Game 7 OT,http://twitter.com/search?q=%22Game+7+OT%22,,%22Game+7+OT%22,
Backstrom,http://twitter.com/search?q=Backstrom,,Backstrom,
Hagelin,http://twitter.com/search?q=Hagelin,,Hagelin,
Rhame,http://twitter.com/search?q=Rhame,,Rhame,
Connolly,http://twitter.com/search?q=Connolly,,Connolly,
YOUNG ONE,http://twitter.com/search?q=%22YOUNG+ONE%22,,%22YOUNG+ONE%22,23969
Javy,http://twitter.com/search?q=Javy,,Javy,
Faulk,http://twitter.com/search?q=Faulk,,Faulk,
Jordan Staal,http://twitter.com/search?q=%22Jordan+Staal%22,,%22Jordan+Staal%22,
